,Unnamed: 0,raw_header,reuters_url,article_publish_date,processed_header,neg,neu,pos,compound
69,69,Apple has a $399 iPhone SE for the budget-conscious as coronavirus stalls economy,https://www.reuters.com/article/us-apple-iphone/apple-has-a-399-iphone-se-for-the-budget-conscious-as-coronavirus-stalls-economy-idUSKCN21X29X,3 months ago,Apple has a $399 iPhone SE for the budget-conscious as coronavirus stalls economy,0.0,1.0,0.0,0.0
70,70,"U.S. senator says Apple, Google must convince public that contact tracing will not violate privacy",https://www.reuters.com/article/health-coronavirus-google-apple/u-s-senator-says-apple-google-must-convince-public-that-contact-tracing-will-not-violate-privacy-idUSL2N2C31V0,3 months ago,"U.S. senator says Apple, Google must convince public that contact tracing will not violate privacy",0.0,0.737,0.263,0.5615
71,71,Apple releases budget iPhone SE priced at $399 as coronavirus stalls economy,https://www.reuters.com/article/apple-iphone/apple-releases-budget-iphone-se-priced-at-399-as-coronavirus-stalls-economy-idUSL2N2C22S0,3 months ago,Apple releases budget iPhone SE priced at $399 as coronavirus stalls economy,0.0,1.0,0.0,0.0
72,72,Apple-Google alliance welcomed by European coronavirus app platform,https://www.reuters.com/article/us-health-coronavirus-germany-tech/apple-google-alliance-welcomed-by-european-coronavirus-app-platform-idUSKCN21X1FV,3 months ago,Apple-Google alliance welcomed by European coronavirus app platform,0.0,0.745,0.255,0.34
73,73,Apple launches site to show how coronavirus lockdowns affect movement,https://www.reuters.com/article/us-health-coronavirus-apple/apple-launches-site-to-show-how-coronavirus-lockdowns-affect-movement-idUSKCN21W2IN,3 months ago,Apple launches site to show how coronavirus lockdowns affect movement,0.0,1.0,0.0,0.0
74,74,Apple launches tool to track people movement to curb virus spread,https://www.reuters.com/article/health-coronavirus-apple/apple-launches-tool-to-track-people-movement-to-curb-virus-spread-idUSL3N2C23WH,3 months ago,Apple launches tool to track people movement to curb virus spread,0.0,1.0,0.0,0.0
75,75,Apple shipped 2.5 million iPhones in China in March following virus slump: government data,https://www.reuters.com/article/us-health-coronavirus-china-smartphones/apple-shipped-2-5-million-iphones-in-china-in-march-following-virus-slump-government-data-idUSKCN21W0G9,3 months ago,Apple shipped 2.5 million iPhones in China in March following virus slump: government data,0.0,1.0,0.0,0.0
76,76,"Apple, Google plan software to slow virus, joining global debate on tracking",https://www.reuters.com/article/us-health-coronavirus-apple-alphabet/apple-google-plan-software-to-slow-virus-joining-global-debate-on-tracking-idUSKCN21S1TT,3 months ago,"Apple, Google plan software to slow virus, joining global debate on tracking",0.0,1.0,0.0,0.0
77,77,"Apple, Google to create contact tracing technology to fight coronavirus spread",https://www.reuters.com/article/ul-health-coronavirus-apple-alphabet/apple-google-to-create-contact-tracing-technology-to-fight-coronavirus-spread-idUSKCN21S1UF,3 months ago,"Apple, Google to create contact tracing technology to fight coronavirus spread",0.19,0.657,0.153,-0.128
78,78,Chinese online retailers offer discounts on iPhone 11 as country recovers from coronavirus,https://www.reuters.com/article/us-health-coronavirus-apple-china/chinese-online-retailers-offer-discounts-on-iphone-11-as-country-recovers-from-coronavirus-idUSKCN21R0JX,3 months ago,Chinese online retailers offer discounts on iPhone 11 as country recovers from coronavirus,0.0,1.0,0.0,0.0
79,79,Apple supplier Foxconn's sales down 7.7% in March,https://www.reuters.com/article/us-foxconn-results/apple-supplier-foxconns-sales-down-7-7-in-march-idUSKBN21O1GN,3 months ago,Apple supplier Foxconn's sales down 7.7% in March,0.0,1.0,0.0,0.0
80,80,Apple will stop taking cut of some Amazon video purchases on App Store,https://www.reuters.com/article/us-apple-amazon-com/apple-will-stop-taking-cut-of-some-amazon-video-purchases-on-app-store-idUSKBN21J71S,3 months ago,Apple will stop taking cut of some Amazon video purchases on App Store,0.269,0.625,0.106,-0.3818
81,81,"Tile says Apple's behavior is anticompetitive and has 'gotten worse, not better'",https://www.reuters.com/article/us-tech-antitrust-apple-tile/tile-says-apples-behavior-is-anticompetitive-and-has-gotten-worse-not-better-idUSKBN21J72V,3 months ago,"Tile says Apple's behavior is anticompetitive and has 'gotten worse, not better'",0.355,0.645,0.0,-0.6711
